"","X.1","X","EDCS.ID","publication","province","place","dating_from","dating_to","date_not_before","date_not_after","status","inscription","inscription_conservative_cleaning","inscription_interpretive_cleaning","material","comment","latitude","longitude","language","photo","partner_link","extra_text","extra_html","raw_dating"
"211",1071,1071,"EDCS-29700324","CIL 03, 08283 = ILJug-03, 01822 = Doclea 00003 = CILGM 00165","Dalmatia","Duklja / Duklje / Rusevine / Doclea",101,200,101,200,"tituli sacri","Dis de/abusq(ue) / omni(bus)","Dis deabusq omni","Dis deabus que omnibus","lapis",NA,42.4686384,19.2654984,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Doclea_00003.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD021933",NA,NA,"101 to 200"
"212",1072,1072,"EDCS-31200872","CIL 03, 08284 = Doclea 00007 = CILGM 00168","Dalmatia","Duklja / Duklje / Rusevine / Doclea",101,300,101,300,"mulieres;  tituli sacri;  tria nomina","Veneri / Aug(ustae) / sacrum / Fl(avia) Bassilla","Veneri Aug sacrum Fl Bassilla","Veneri Augustae sacrum Flavia Bassilla",NA,NA,42.4686384,19.2654984,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Doclea_00007.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD054800",NA,NA,"101 to 300"
"213",1077,1077,"EDCS-31200879","CIL 03, 08287d = CIL 03, 12692,4 = CIL 03, 13819d = Doclea 00022,3 = CILGM 00103,3","Dalmatia","Duklja / Duklje / Rusevine / Doclea",71,130,71,130,"milites;  ordo equester;  sacerdotes pagani;  tituli sacri;  tituli sepulcrales;  tria nomina;  viri","[M(arco)] Fl(avio) T(iti) f(ilio) Quir(ina) Frontoni praef(ecto) f[abrum 3] / pontif(ici) flam(ini) divi [","Fl T f Quir Frontoni praef f pontif flam divi","Marco Flavio Titi filio Quirina Frontoni praefecto fabrum pontifici flamini divi","lapis",NA,42.4686384,19.2654984,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CILGM_00103_3.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD054373",NA,NA,"71 to 130"
"214",1082,1082,"EDCS-29900010","CIL 03, 12679 = D 04837 = CBI 00488 = Doclea 00004 = CILGM 00108 = AE 1897, 00005 = AE 2012, +01085","Dalmatia","Duklja / Duklje / Rusevine / Doclea",151,250,151,250,"milites;  tituli sacri;  tria nomina;  viri","I(ovi) O(ptimo) M(aximo) / Epon(a)e Regin(ae) / Genio loci / P(ublius) Bennius Eg/regius mil(es) / coh(ortis) vol(untariorum) adiu(tor) / princ(ipis) b(ene)f(iciarius) co(n)s(ularis) v(otum) s(olvit)","I O M Epone Regin Genio loci P Bennius Egregius mil coh vol adiu princ bf cos v s","Iovi Optimo Maximo Eponae Reginae Genio loci Publius Bennius Egregius miles cohortis voluntariorum adiutor principis beneficiarius consularis votum solvit","lapis",NA,42.4686384,19.2654984,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Doclea_00004.jpg;$CILGM_00108_1.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD022562;de-b0238;1ae1897-01;1ae1897-02;bu_CIL%26bibl_volume=3%26bibl_subvolume=%26bibl_insc=12679",NA,NA,"151 to 250"
"215",1083,1083,"EDCS-31400159","CIL 03, 12680 = CIL 03, 13818 = Doclea 00009 = CILGM 00148","Dalmatia","Duklja / Duklje / Rusevine / Doclea",81,96,81,96,"Augusti/Augustae;  ordo decurionum;  tituli sacri;  tria nomina;  viri","Divo Tito / Aug(usto) / L(ucius) Flavius Quir(ina) / Epidianus / IIIIvir i(ure) d(icundo) / qui(n)q(uennalis) / ob honor(em)","Divo Tito Aug L Flavius Quir Epidianus IIII vir i d quiq ob honor","Divo Tito Augusto Lucius Flavius Quirina Epidianus IIII vir iure dicundo quinquennalis ob honorem",NA,NA,42.4686384,19.2654984,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Doclea_00009.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD054243;bu_CIL%26bibl_volume=3%26bibl_subvolume=%26bibl_insc=12680",NA,NA,"81 to 96"
"216",1084,1084,"EDCS-31400160","CIL 03, 12681 = Doclea 00012 = CILGM 00158","Dalmatia","Duklja / Duklje / Rusevine / Doclea",98,98,98,98,"Augusti/Augustae;  tituli honorarii;  tituli sacri;  viri","[Imp(eratori) Ca]esa[ri] / [divi Ne]rva[e f(ilio) Ner]/[vae Tr]aia[no Aug(usto)] / [Germ(anico) p]ont(ifici) [max(imo)] / [trib(unicia) p]ot(estate) II [co(n)s(uli) II","esa rvaaia ont ot II cos II","Imperatori Caesari divi Nervae filio Nervae Traiano Augusto Germanico pontifici maximo tribunicia potestate II consuli II","lapis",NA,42.4686384,19.2654984,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD054802",NA,NA,"98 to 98"
"217",1085,1085,"EDCS-31400161","CIL 03, 12682 (p 2252, 2328,115) = Doclea 00010 = CILGM 00101","Dalmatia","Duklja / Duklje / Rusevine / Doclea",117,120,117,120,"Augusti/Augustae;  tituli honorarii;  tituli sacri;  viri","Divo / Traian(o) / d(ecreto) d(ecurionum) // Con()","Divo Traian d d Con","Divo Traiano decreto decurionum Con",NA,NA,42.4686384,19.2654984,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Doclea_00010.jpg;$CILGM_00101_1.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD054801",NA,NA,"117 to 120"
"218",1096,1096,"EDCS-31300270","CIL 03, 12695 (p 2253) = D 07159 = Doclea 00026 = CILGM 00153 = AE 1893, 00078 = AE 2012, +01093","Dalmatia","Duklja / Duklje / Rusevine / Doclea",81,97,81,97,"Augusti/Augustae;  milites;  ordo decurionum;  ordo equester;  sacerdotes pagani;  tituli honorarii;  tituli sacri;  tria nomina;  viri","M(arco) Flavio T(iti) f(ilio) Quir(ina) / Frontoni sacerd(oti) / in coloni(i)s Naron(a) / et Epidauro IIvir(o) i(ure) d(icundo) / Iu<l=I>io Risin(i)o IIvir(o) / <q=C>uinq(uennali) <p=I>on<t=I>(ifici) in co<l=I>(onia) / Sc<o=C>dr(a) IIvir(o) i(ure) d(icundo) qui[nq(uennali)] / <fl=II>am(ini) [divi Titi(?)] praef(ecto) [fabr(um)] / ple<b=P>s / ex aere conla<to=IC>","M Flavio T f Quir Frontoni sacerd in colonis Naron et Epidauro II vir i d IuIio Risino II vir Cuinq IonI in coI ScCdr II vir i d qui am praef plePs ex aere conla","Marco Flavio Titi filio Quirina Frontoni sacerdoti in coloniis Narona et Epidauro II viro iure dicundo Iulio Risinio II viro quinquennali pontifici in colonia Scodra II viro iure dicundo quinquennali flIamini divi Titi praefecto fabrum plebs ex aere conlatoC","lapis",NA,42.4686384,19.2654984,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD054810;de-b0726;1ae1893-18;1ae1893-19",NA,NA,"81 to 97"
"219",1118,1118,"EDCS-29900104","CIL 03, 13827 = D 07158 = Doclea 00011 = CILGM 00198 = AE 1897, 00011 = AE 2012, +01088","Dalmatia","Duklja / Duklje / Rusevine / Doclea",14,150,14,150,"Augusti/Augustae;  officium/professio;  sacerdotes pagani;  tituli operum;  tituli sacri;  tria nomina;  viri","[3]ius / Quir(ina) / Genialis / [viator(?)] co(n)s(ulum) et / p[raet(orum)] sacerd(os) / a<d=T> a<r=P>am Caesar(i)s / dec(urio?) / te[st]amento po[ni] / iussi<t=I> [l(ocus) d(atus) d(ecreto)] d(ecurionum)","ius Quir Genialis cos et p sacerd aT aPam Caesars dec teamento po iussiI d","ius Quirina Genialis viator consulum et praetorum sacerdos ad aram Caesaris decurio testamento poni iussit locus datus decreto decurionum",NA,NA,42.4686384,19.2654984,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD022580;de-b0726;1ae1897-03;bu_CIL%26bibl_volume=3%26bibl_subvolume=%26bibl_insc=13827",NA,NA,"14 to 150"
"220",1121,1121,"EDCS-31900212","CIL 03, 13830","Dalmatia","Duklja / Duklje / Rusevine / Doclea",1,300,1,300,"tituli sacri","de]dicavit IV[3] / [3]CR[","dedicavit IV CR","dedicavit IV CR",NA,NA,42.4686384,19.2654984,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD054432",NA,NA,"1 to 300"
"221",1122,1122,"EDCS-31900213","CIL 03, 13831 = Doclea 00039 = CILGM 00176","Dalmatia","Duklja / Duklje / Rusevine / Doclea",1,300,1,300,"tituli sacri","[3]R pecunia s[ua fec(it) 3]","R pecunia s","R pecunia sua fecit","lapis",NA,42.4686384,19.2654984,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Doclea_00039.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD054433",NA,NA,"1 to 300"
"222",1136,1136,"EDCS-31900225","CIL 03, 13845 = ILCV 01239 = JbAC-2012-73,1","Dalmatia","Duklja / Duklje / Rusevine / Doclea",301,600,301,600,"inscriptiones christianae;  mulieres;  nomen singulare;  sacerdotes christiani;  tituli operum;  tituli sacri","Ausonia diac(onissa) (p)ro voto suo et fili(o)r(um) suor(um) f(e)c(it)","Ausonia diac ro voto suo et filir suor fc","Ausonia diaconissa pro voto suo et filiorum suorum fecit","lapis",NA,42.4686384,19.2654984,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD054540;bu_ILCV%26bibl_volume=%26bibl_subvolume=%26bibl_insc=1239",NA,NA,"301 to 600"
"223",1143,1143,"EDCS-65500064","CILGM 00177","Dalmatia","Duklja / Duklje / Rusevine / Doclea",NA,NA,NA,NA,"tituli sacri","Sanct(ae) / deae S[3] / [3]NTP[3] / [3]VLV[","Sanct deae S NTP VLV","Sanctae deae S NTP VLV",NA,NA,42.4686384,19.2654984,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CILGM_00177.jpg",NA,NA,NA,NA
"224",1144,1144,"EDCS-65500065","CILGM 00190","Dalmatia","Duklja / Duklje / Rusevine / Doclea",NA,NA,NA,NA,"tituli sacri","de]dicavit I[3] / [3]CR[","dedicavit I CR","dedicavit I CR",NA,NA,42.4686384,19.2654984,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CILGM_00190.jpg",NA,NA,NA,NA
"225",1152,1152,"EDCS-10100777","ILJug-03, 01819 = D 09256 = Doclea 00001 = Ananca= CILGM 00167 = AE 1905, 00046 = AE 2013, 01187","Dalmatia","Duklja / Duklje / Rusevine / Doclea",101,200,101,200,"tituli sacri;  tria nomina;  viri","Anancae / pro sal(ute) / Val(eri) Lici/niani / fili(i) / L(ucius) Coe(lius) Val(ens?) / pater / l(ibens) l(aetus)","Anancae pro sal Val Liciniani fili L Coe Val pater l l","Anancae pro salute Valeri Liciniani filii Lucius Coelius Valens pater libens laetus","lapis",NA,42.4686384,19.2654984,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Doclea_00001.jpg;$Memor_305.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD030165;de-c0105;1ae1905-13;1ae1905-14",NA,NA,"101 to 200"
"226",1153,1153,"EDCS-10100778","ILJug-03, 01820 = CILGM 00163 = AE 1978, 00735","Dalmatia","Duklja / Duklje / Rusevine / Doclea",101,200,101,200,"tituli sacri;  tria nomina;  viri","Dian[ae] / Augustae / Canda/vie(n)si T(itus) / Fl(avius) Dion<y=I>si/us d(onum) p(osuit)","Dian Augustae Candaviesi T Fl DionIsius d p","Dianae Augustae Candaviensi Titus Flavius Dionysius donum posuit","lapis",NA,42.4686384,19.2654984,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CILGM_00163.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD004291;bu_ILJug%26bibl_volume=3%26bibl_subvolume=%26bibl_insc=1820",NA,NA,"101 to 200"
"227",1154,1154,"EDCS-10100779","ILJug-03, 01821 = Doclea 00002 = CILGM 00164","Dalmatia","Duklja / Duklje / Rusevine / Doclea",101,250,101,250,"tituli sacri;  tria nomina;  viri","D{e}is / omnibus / Casticus / Tertullin(us) / ex vot(o)","Deis omnibus Casticus Tertullin ex vot","Dis omnibus Casticus Tertullinus ex voto","lapis",NA,42.4686384,19.2654984,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Doclea_00002.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD034128",NA,NA,"101 to 250"
"228",1155,1155,"EDCS-10100780","ILJug-03, 01823 = CILGM 00162 = AE 1986, 00557","Dalmatia","Duklja / Duklje / Rusevine / Doclea",101,200,101,200,"tituli sacri;  tria nomina;  viri","Iovi / Antra/ri M(aximo) sacr(um) / T(itus) Fl(avius) Li/beralis ex / voto su<s=C>/cepto","Iovi Antrari M sacr T Fl Liberalis ex voto suCcepto","Iovi Antrari Maximo sacrum Titus Flavius Liberalis ex voto suscepto","lapis",NA,42.4686384,19.2654984,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CILGM_00162.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD007935",NA,NA,"101 to 200"
"229",1156,1156,"EDCS-10100781","ILJug-03, 01824 = Doclea 00005 = CILGM 00169 = AE 1914, 00208","Dalmatia","Duklja / Duklje / Rusevine / Doclea",171,300,171,300,"liberti/libertae;  tituli sacri;  tria nomina;  viri","Iovi Co(ho)rtali / Aug(usto) Iul(ius) Eutyc(h)es / lib(ertus) pro salute / patroni sui Iuli / Vinciani votum // l(ibens) s(olvit)","Iovi Cortali Aug Iul Eutyces lib pro salute patroni sui Iuli Vinciani votum l s","Iovi Cohortali Augusto Iulius Eutyches libertus pro salute patroni sui Iuli Vinciani votum libens solvit","lapis",NA,42.4686384,19.2654984,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Doclea_00005.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD021416;1ae1914-49;bu_ILJug%26bibl_volume=3%26bibl_subvolume=%26bibl_insc=1824",NA,NA,"171 to 300"
"230",1157,1157,"EDCS-10100782","ILJug-03, 01825 = CBI 00461 = CILGM 00166 = AE 1933, 00076","Dalmatia","Duklja / Duklje / Rusevine / Doclea",187,187,187,187,"milites;  tituli sacri;  tria nomina;  viri","I(ovi) O(ptimo) M(aximo) / Eponae Re[g(inae)] / Genio loci / C(aius) Ocratius / Lacon b(ene)f(iciarius) co(n)s(ularis) / leg(ionis) I Adiutr(icis) / v(otum) s(olvit) l(ibens) m(erito) / Crispino et Aeliano / co(n)s(ulibus)","I O M Eponae Re Genio loci C Ocratius Lacon bf cos leg I Adiutr v s l m Crispino et Aeliano cos","Iovi Optimo Maximo Eponae Reginae Genio loci Caius Ocratius Lacon beneficiarius consularis legionis I Adiutricis votum solvit libens merito Crispino et Aeliano consulibus","lapis",NA,42.4686384,19.2654984,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CBI_00461.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD023832;1ae1933-21",NA,NA,"187 to 187"
"231",1158,1158,"EDCS-10100783","ILJug-03, 01826 = Doclea 00006 = CILGM 00170","Dalmatia","Duklja / Duklje / Rusevine / Doclea",101,300,101,300,"tituli sacri;  viri","[Libe]ro Pa/[tri A]ug(usto) sac(rum) / [3] Ter/[tius e]x voto","ro Paug sac Terx voto","Libero Patri Augusto sacrum Tertius ex voto","lapis",NA,42.4686384,19.2654984,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Doclea_00006.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD034127",NA,NA,"101 to 300"
"232",1159,1159,"EDCS-10100784","ILJug-03, 01827 = Doclea 00008 = CILGM 00171","Dalmatia","Duklja / Duklje / Rusevine / Doclea",1,300,1,300,"mulieres;  tituli sacri;  tria nomina","] / [Do]m(i)no e/t Dom(i)n(a)e P/etronia Va/lentina / v(otum) l(ibens) s(olvit)","mno et Domne Petronia Valentina v l s","Domino et Dominae Petronia Valentina votum libens solvit",NA,NA,42.4686384,19.2654984,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Doclea_00008.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD034124;bu_ILJug%26bibl_volume=3%26bibl_subvolume=%26bibl_insc=1827",NA,NA,"1 to 300"
"233",1179,1179,"EDCS-10100805","ILJug-03, 01850 = CILGM 00172 = AE 1905, 00048","Dalmatia","Duklja / Duklje / Rusevine / Doclea",1,300,1,300,"tituli sacri;  tria nomina;  viri","Nymph/is Auggg(ustis) / sacrum M(arcus) S() M() / cum suis","Nymphis Auggg sacrum M S M cum suis","Nymphis Augggustis sacrum Marcus S M cum suis","lapis",NA,42.4686384,19.2654984,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD030171;1ae1905-14",NA,NA,"1 to 300"
"234",1192,1192,"EDCS-57200004","Kurilic 00004 = Liburnia 00072","Dalmatia","Galovac / Iader",1,100,1,100,"milites;  tituli sacri","I Mac(edonica) le[g(io)] / [I]ovi O(ptimo) M(aximo) / v(otum) [s(olvit)] l(ibens) m(erito)","I Mac le ovi O M v l m","I Macedonica legio Iovi Optimo Maximo votum solvit libens merito",NA,NA,44.0724549,15.3944579,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD053934",NA,NA,"1 to 100"
"235",1197,1197,"EDCS-30101159","AE 2003, 01328","Dalmatia","Gardun / Tilurium",1,100,1,100,"tituli sacri","Gen[io] / [","Gen","Genio","lapis",NA,43.6099573,16.7139587,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD045053",NA,NA,"1 to 100"
"236",1199,1199,"EDCS-34100136","AE 2004, 01104","Dalmatia","Gardun / Tilurium",101,300,101,300,"milites;  tituli sacri;  viri","[I(ovi)] O(ptimo) M(aximo) / [3]aicus / [ce]n(turio) co(ho)r/[tis V]III v[ol(untariorum)] / [","O M aicus n corIII v","Iovi Optimo Maximo aicus centurio cohortis VIII voluntariorum","lapis",NA,43.6099573,16.7139587,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD050511",NA,NA,"101 to 300"
"237",1200,1200,"EDCS-59500032","AE 2010, 01216","Dalmatia","Gardun / Tilurium",NA,NA,NA,NA,"tituli sacri;  viri","I(ovi) O(ptimo) M(aximo) / [C]laudius / [3 v(ixit) ann]is(?) VIII","I O M laudius is VIII","Iovi Optimo Maximo Claudius vixit annis VIII",NA,NA,43.6099573,16.7139587,NA,NA,NA,NA,NA,NA
"238",1204,1204,"EDCS-28300032","CIL 03, 02706 (p 1034, 2328,154) = CIL 03, 09724","Dalmatia","Gardun / Tilurium",245,245,245,245,"litterae erasae;  milites;  tituli sacri;  tria nomina;  viri","I(ovi) O(ptimo) M(aximo) / et Genio / M(arcus) Ippi[us] L(uci) f(ilius) / Stel(latina) Benevento / Vitalis |(centurio) coh(ortis) / VIII vol(untariorum) [[[Phi]]]/[[[lippianae]]] / v(otum) l(ibens) p(osuit) Imp(eratore) d(omino) n(ostro) / [[[Philippo]]] et / Tittiano co(n)s(ulibus) / III Non(as) Ianua[r(ias)] / sig(no) Equit(ii)","I O M et Genio M Ippi L f Stel Benevento Vitalis coh VIII vol v l p Imp d n et Tittiano cos III Non Ianua sig Equit","Iovi Optimo Maximo et Genio Marcus Ippius Luci filius Stellatina Benevento Vitalis centurio cohortis VIII voluntariorum Philippianae votum libens posuit Imperatore domino nostro Philippo et Tittiano consulibus III Nonas Ianuarias signo Equitii","lapis",NA,43.6099573,16.7139587,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_02706_1.jpg;$PF_CIL_03_02706.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD058589;bu_CIL%26bibl_volume=3%26bibl_subvolume=%26bibl_insc=9724",NA,NA,"245 to 245"
"239",1205,1205,"EDCS-28300033","CIL 03, 02707","Dalmatia","Gardun / Tilurium",1,300,1,300,"tituli sacri","] / v(otum) l(ibens) m(erito)","v l m","votum libens merito",NA,NA,43.6099573,16.7139587,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD058868",NA,NA,"1 to 300"
"240",1226,1226,"EDCS-30100401","CIL 03, 09731 (p 2161)","Dalmatia","Gardun / Tilurium",1,300,1,300,"tituli sacri","Nymp[his(?)] / RAE[3] / IN[","Nymp RAE IN","Nymphis RAE IN",NA,NA,43.6099573,16.7139587,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD058837",NA,NA,"1 to 300"
"241",1240,1240,"EDCS-31400957","CIL 03, 13186","Dalmatia","Gardun / Tilurium",1,300,1,300,"tituli sacri","[F]or<t=I>una/<e=F> Aug(ustae) sac(rum) / [2]OSOIR / [2]II v(otum) s(olvit) l(ibens) m(erito)","orIunaF Aug sac OSOIR II v s l m","Fortunae Augustae sacrum OSOIR II votum solvit libens merito",NA,NA,43.6099573,16.7139587,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD064079",NA,NA,"1 to 300"
"242",1241,1241,"EDCS-31400958","CIL 03, 13187 = ILJug-01, 00143","Dalmatia","Gardun / Tilurium",211,222,211,222,"milites;  tituli sacri;  tria nomina;  viri","N[ym]p[h]is et Silvano / Aur(elius) Annianus buc(inator) coh(ortis) VIII vol(untariorum) / A(ntoninianae?) v(otum) l(ibens) p(osuit)","Npis et Silvano Aur Annianus buc coh VIII vol A v l p","Nymphis et Silvano Aurelius Annianus bucinator cohortis VIII voluntariorum Antoninianae votum libens posuit",NA,NA,43.6099573,16.7139587,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0048813;HD028864",NA,NA,"211 to 222"
"243",1247,1247,"EDCS-31900026","CIL 03, 13972 = CCCA-06, 00172","Dalmatia","Gardun / Tilurium",1,300,1,300,"mulieres;  tituli sacri;  tria nomina;  viri","M(atri) M(agnae) / M(arcus) Cal(purnius?) Pri(mus?) / et Treb(onia) Chr(este) / rest(ituerunt)","M M M Cal Pri et Treb Chr rest","Matri Magnae Marcus Calpurnius Primus et Trebonia Chreste restituerunt",NA,NA,43.6099573,16.7139587,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0048817;HD058790",NA,NA,"1 to 300"
"244",1277,1277,"EDCS-10000242","ILJug-01, 00142 = CIMRM-02, 01858","Dalmatia","Gardun / Tilurium",151,300,151,300,"tituli sacri","Invicti posuit","Invicti posuit","Invicti posuit",NA,NA,43.6099573,16.7139587,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD033094",NA,NA,"151 to 300"
"245",1278,1278,"EDCS-10000243","ILJug-01, 00144 = CBI 00489","Dalmatia","Gardun / Tilurium",151,250,151,250,"milites;  tituli sacri;  tria nomina;  viri","I(ovi) O(ptimo) M(aximo) / et N(umini) H(ippi) fl(uminis) / Cn(aeus) Tullius / Flaventinus / b(ene)f(iciarius) co(n)s(ularis) / leg(ionis) I Adi(utricis) / [v(otum) s(olvit) l(ibens) m(erito)]","I O M et N H fl Cn Tullius Flaventinus bf cos leg I Adi","Iovi Optimo Maximo et Numini Hippi fluminis Cnaeus Tullius Flaventinus beneficiarius consularis legionis I Adiutricis votum solvit libens merito","lapis",NA,43.6099573,16.7139587,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CBI_00489.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD033097",NA,NA,"151 to 250"
"246",1313,1313,"EDCS-67300056","GlasSarajevo-1982-24,22 = AHB p 504","Dalmatia","Glamoc / Municipium Salvium",171,300,171,300,"tituli sacri;  tria nomina;  viri","I(ovi) O(ptimo) M(aximo) / Co(ho)rta[li] / posui[t] / Ti[t]i[us(?)] / Suru[s] / v(otum) p(osuit) l(ibens)","I O M Corta posui Tii Suru v p l","Iovi Optimo Maximo Cohortali posuit Titius Surus votum posuit libens","lapis",NA,44.0449852,16.8499014,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AHB_p504.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD056173;lu_30699",NA,NA,"171 to 300"
"247",1314,1314,"EDCS-67300057","GlasSarajevo-1982-26,23 = AHB p 505","Dalmatia","Glamoc / Municipium Salvium",131,200,131,200,"officium/professio;  ordo decurionum;  tituli sacri;  tria nomina;  viri","[3] Aug(usto) s(acrum) P(ublius) Aeli(us) Secundus d[ec(urio?)] et Varro Da[s]antis / [3] p(osuerunt) pro salute sua et coll(e)gio (a)erariorum B[3]MILIAN","Aug s P Aeli Secundus d et Varro Daantis p pro salute sua et collgio erariorum B MILIAN","Augusto sacrum Publius Aelius Secundus decurio et Varro Dasantis posuerunt pro salute sua et collegio aerariorum B MILIAN","lapis",NA,44.0449852,16.8499014,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AHB_p505_1.jpg;$AHB_p505_2.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD056175;lu_30690",NA,NA,"131 to 200"
"248",1320,1320,"EDCS-67300063","GlasSarajevo-1985/86-92,11","Dalmatia","Glamoc / Municipium Salvium",71,150,71,150,"tituli sacri","[3] s(acrum) / [3]V C / [3]I[","s V C I","sacrum V C I",NA,NA,44.0449852,16.8499014,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD056012",NA,NA,"71 to 150"
"249",1321,1321,"EDCS-67300064","GlasSarajevo-1985/86-94,13","Dalmatia","Glamoc / Municipium Salvium",71,150,71,150,"tituli sacri","I[","I","I",NA,NA,44.0449852,16.8499014,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD056013",NA,NA,"71 to 150"
"250",1322,1322,"EDCS-67300065","GlasSarajevo-1985/86-94,14","Dalmatia","Glamoc / Municipium Salvium",101,300,101,300,"tituli sacri","I(ovi) O(ptimo) [M(aximo)]","I O","Iovi Optimo Maximo",NA,NA,44.0449852,16.8499014,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD056015",NA,NA,"101 to 300"
"251",1323,1323,"EDCS-67300066","GlasSarajevo-1985/86-95,15","Dalmatia","Glamoc / Municipium Salvium",71,150,71,150,"tituli sacri","I(ovi) O(ptimo) M(aximo) / [","I O M","Iovi Optimo Maximo",NA,NA,44.0449852,16.8499014,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD056020",NA,NA,"71 to 150"
"252",1324,1324,"EDCS-67300067","GlasSarajevo-1985/86-96,16","Dalmatia","Glamoc / Municipium Salvium",71,300,71,300,"tituli sacri","I(ovi) O(ptimo) M(aximo)","I O M","Iovi Optimo Maximo",NA,NA,44.0449852,16.8499014,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD056019",NA,NA,"71 to 300"
