"","X","hd_nr","provinz","land","land_sort_de","land_sort_en","fo_antik","fo_modern","verw_bezirk","fundstelle","pl_ancient_loc1","koordinaten1","pl_ancient_loc2","koordinaten2","geo_id1","geo_id2","fundjahr","aufbewahrung","erhaltung","i_gattung","i_gattung_sort_de","i_gattung_sort_en","denkmaltyp","felder","material","hoehe","breite","tiefe","if_h","if_b","bh","ligatur","metrik","nl_text","dat_tag","dat_monat","dat_jahr_a","dat_jahr_e","datierung","soziales","religion","verbaende","geographie","dekor","gemeinden","militaer","bearbeiter","datum","beleg","tm_nr","gdb_id","atext","btext","literatur","beziehung","kommentar","pal_schreibtechnik","pal_interpunktion","people_uris","godot_uris","foto_nr","foto_extern","name","praenomen","nomen","cognomen","supernomen","tribus","origo","geschlecht","status","beruf","l_jahre","l_monate","l_tage","l_stunden"
"76",295,"HD021933","Dal","me",35,37,"Doclea","Podgorica",NA,"{Duklja}",481808,"42.467212864,19.265850603",NA,NA,3193044,NA,NA,NA,NA,"titsac",22,22,"Altar",NA,"Kalkstein",-31,-29,-26,NA,NA,NA,NA,NA,"L",NA,NA,101,200,NA,NA,"a",NA,NA,NA,NA,NA,"Feraudi","2011-10-10",31,182017,22925,"Dis de/abusq/[ue] omni/[bus &","DIS DE / ABVSQ / [ ] OMNI / [","ILJug 1822. # CIL 03, 08283. # P. Sticotti, Die römische Stadt Doclea in Montenegro (Wien 1913) 156, Nr. 3; Fig. 99 (Zeichnung). #",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",296,"HD021960","Dal","hr",25,10,"Aenona","Nin","Zadarska županija",NA,197094,"44.243529,15.184150",NA,NA,3216446,NA,1936,NA,NA,"titsac",22,22,"Tafel",NA,"Kalkstein",46.5,28,9,NA,NA,"5.5",NA,NA,"L",NA,NA,1,150,NA,NA,"a",NA,NA,NA,NA,NA,"Gräf","2010-03-24",10,182018,5911,"T(itus) Appuleius T(iti) L(uci) l(ibertus) Antigonius / Anzoticae / v(otum) s(olvit)","T APPVLEIVS T L L ANTIGONIVS / ANZOTICAE / V S","AE 1938, 0031. (B) # A. Degrassi, Athenaeum 15, 1937, 287-288. - AE 1938. #",NA,"(B): AE 1938: Z. 1: Anticonius.",NA,NA,NA,NA,"F034494|https://heidicon.ub.uni-heidelberg.de/api/v1/objects/uuid/1c841815-34a3-417b-9eda-18cf00b7c074/file/id/795330/file_version/name/small","http://lupa.at/24147","T. Appuleius T.L.l. Antigonius","T.","Appuleius","Antigonius",NA,NA,NA,"M","6",NA,NA,NA,NA,NA
"78",301,"HD022124","Dal","ba",8,8,NA,"Mostar","Hercegovačko-neretvanski kanton","{Potoci}, Potoci, Fluss, rechtes Ufer, ""Grčine"", sekundär verwendet",NA,"43.4078203,17.8758297",NA,NA,3192653,NA,1902,NA,NA,"titsac",22,22,"Tafel",NA,NA,82.5,78,16.3,NA,NA,NA,NA,NA,"L",NA,NA,301,400,NA,NA,"a",NA,NA,"J",NA,NA,"Gräf","2011-09-15",2,182023,22769,"Deo S//oli Invicto // Met(h)ri(!) // Aur(elius) Maximinus / Flavi(us) Marcellinus / Flavi(us) Marcellus // Rumanus(!) / Marcianus [---] IV / [--- p?]in[us?] II ficus X","DEO S / / OLI INVICTO / / METRI / / AVR MAXIMINVS / FLAVI MARCELLINVS / FLAVI MARCELLVS / / RVMANVS / MARCIANVS [ ] IV / [ ]IN[ ] II FICVS X","AE 1906, 0184. # C. Patsch, WMBH 9, 1904, 265-270, Nr. 5; fig. 139; fig. 140 (Zeichnung). - AE 1906. # ILJug 0112. (B) # CIMRM 1892. (B) # E. Imamović, Antički kultni i votivni spomenici na području Bosne i Hercegovine (Sarajevo 1977) 452, Nr. 237; Foto. #",NA,"Inschriftfeld vertikal in 3 Felder eingeteilt; Z. 1 und Z. 7 stehen im linken, Z. 3 steht im rechten Feld; Z. 7 sowie 8-9 wurden nachträglich eingeritzt. Im oberen Bereich in der Mitte Darstellung eines Gefäßes mit ausströmendem Wasser eingeritzt. In Z. 8 vor IV und in Z. 9 (Anfang) noch Reste nicht mehr identifizierbarer Buchstaben zu erkennen. Imamović: Z. 7-9 nicht wiedergegeben. (B): ILJug 112: Z. 1-3: Deo Soli Inv[ict]o Meter[i](!); CIMRM: Deo Soli Inv[ict]o / Meteri.","d",NA,NA,NA,NA,NA,"Aur. Maximinus|Flavi. Marcellinus|Flavi. Marcellus|Rumanus(!)|Marcianus",NA,"Aurelius*|Flavius*|Flavius*","Maximinus|Marcellinus|Marcellus|Rumanus (&#61; Romanus)|Marcianus",NA,NA,NA,"M|M|M|M|M",NA,NA,NA,NA,NA,NA
"79",302,"HD022127","Dal","ba",8,8,NA,"Mostar","Hercegovačko-neretvanski kanton","{Potoci}, Potoci, Fluss, rechtes Ufer, ""Grčine"", sekundär verwendet",NA,"43.4078203,17.8758297",NA,NA,3192653,NA,1902,NA,NA,"titsac",22,22,"Altar",NA,"Kalkstein",-46.5,-22,-23,NA,NA,"3",NA,NA,"L",NA,NA,101,300,NA,NA,"a",NA,NA,NA,NA,NA,"Feraudi","2011-10-07",12,182024,22769,"Deae Iuno/ni sancta(e) / aram posu/it Iunia / Varena","DEAE IVNO / NI SANCTA / ARAM POSV / IT IVNIA / VARENA","AE 1906, 0185. (B) # ILJug 1742. (B) # C. Patsch, WMBH 9, 1904, 270-271, Nr. 6; fig. 142. - AE 1906. # E. Imamović, Antički kultni i votivni spomenici na području Bosne i Hercegovine (Sarajevo 1977) 384, Nr. 130; Foto. #",NA,"(B): Z. 2: AE 1906: sancta[e]; ILJug sanctae.",NA,NA,NA,NA,NA,NA,"Iunia Varena",NA,"Iunia","Varena",NA,NA,NA,"W",NA,NA,NA,NA,NA,NA
"80",304,"HD022439","Dal","hr",25,10,NA,"Vrlika","Splitsko-dalmatinska županija","{Podosoje}, Petra Novakovića dolac",NA,"43.903087361,16.417488098",NA,NA,3192952,NA,1895,"Split, Arh. Muz.",NA,"titsac",22,22,"Altar",NA,NA,80,41,33,NA,NA,"7-5",NA,NA,"L",NA,NA,161,300,NA,NA,"a",NA,NA,NA,NA,NA,"Gräf","2009-10-30",11,182026,6620,"Iovi / Fulmi(natori) / T(itus) Aurelius / Quintus // pos(uit)","IOVI / FVLMI / T AVRELIVS / QVINTVS / / POS","AE 1898, 0103. (B) # CIL 03, 14966. # F. Bulić, BAHD 20, 1897, 145, Nr. 2410. - AE 1898. # C. Patsch, WMBH 7, 1900, 157, Nr. 75; Fig. 144 (Zeichnung). #",NA,"Z. 5 befindet sich auf der crepido. (B): AE 1898: Z. 2: [F]u[l]mi(natori).",NA,NA,NA,NA,NA,NA,"T. Aurelius Quintus","T.","Aurelius","Quintus",NA,NA,NA,"M",NA,NA,NA,NA,NA,NA
"81",308,"HD022562","Dal","me",35,37,"Doclea, bei","Podgorica",NA,"Zlatica, bei, {ehemalige Brücke}, erster Pfeiler, sekundär verwendet",481808,"42.470334776,19.281009435",NA,NA,3342874,NA,NA,"Podgorica, Duklja, Brücke, vermauert",NA,"titsac",22,22,"Altar?",NA,"Kalkstein",-65,-37,-12,NA,NA,"5.2",NA,NA,"L",NA,NA,151,250,NA,NA,"a",NA,NA,NA,NA,"J","Gräf","2018-03-01",12,182030,7037,"I(ovi) O(ptimo) M(aximo) / Epon(a)e Regin[(a)e] / Genio loci / P(ublius) Bennius Eg/regius mil(es) / coh(ortis) vol(untariorum) adiu[t(or)] / princ(ipis) b(ene)f(iciarius) co(n)s(ularis) v(otum) s(olvit) [l(ibens)](?)","I O M / EPONE REGIN[ ] / GENIO LOCI / P BENNIVS EG / REGIVS MIL / COH VOL ADIV[ ] / PRINC BF COS V S [ ]","AE 1897, 0005. (B) # CIL 03, 12679. # ILS 4837. # E. Schallmayer - K. Eibl - J. Ott - G. Preuß - E. Wittkopf, Der römische Weihebezirk von Osterburken 1 (Stuttgart 1990) 384, Nr. 488. # J.A.R. Munro - W.C.F. Anderson, Archaeologia 55, 1, 1896, 64, Nr. 2. (B) - AE 1897. # P. Sticotti, Die römische Stadt Doclea in Montenegro (Wien 1913) 157, Nr. 4; Fig. 100 (Zeichnung). # J.J. Martinović, Antički natpisi u Crnoj Gori. Corpus inscriptionum Latinarum et Graecarum Montenegri (Kotor 2011) 130, Nr. 108; Foto u. Zeichnung. #",NA,"Wohl Vorderteil eines Altars oder einer Statuenbasis. (B): Munro - Anderson; AE 1897: Z. 7: [p]rinc(ipis).",NA,NA,NA,NA,"F036658|https://heidicon.ub.uni-heidelberg.de/api/v1/objects/uuid/121e3fb8-99f1-460d-a884-5a627d17e386/file/id/797518/file_version/name/small",NA,"P. Bennius Egregius","P.","Bennius","Egregius",NA,NA,NA,"M","9",NA,NA,NA,NA,NA
"82",314,"HD022580","Dal","me",35,37,"Doclea","Podgorica",NA,"Duklja, {frühchristliche Basilika}, bei",481808,"42.468722962,19.268985986",NA,NA,3193044,NA,NA,"verschollen",NA,"titsac?",22,22,"Statuenbasis?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L",NA,NA,14,150,NA,"J","b",NA,NA,NA,NA,NA,"Gräf","2019-03-08",1,182036,7102,"[---]ius / Quir(ina) / Genialis / [viator?] co(n)s(ulum) et / p[raet(orum)] sac[e]rd(os) / at(!) ar[a]m Caesar(i)s / dec(urio?) / [test]amen[to poni] / iussit / [l(ocus) d(atus) d(ecreto)] d(ecurionum)","[ ]IVS / QVIR / GENIALIS / [ ] COS ET / P[ ] SAC[ ]RD / AT AR[ ]M CAESARS / DEC / [ ]AMEN[ ] / IVSSIT / [ ] D","AE 1897, 0011. # CIL 03, 13827. # ILS 7158. (B) # J.A.R. Munro - W.C.F. Anderson, Archaeologia 55, 1, 1896, 86-87, Nr. 64; Zeichnung. - AE 1897. # P. Sticotti, Die römische Stadt Doclea in Montenegro (Wien 1913) 160, Nr. 11. #",NA,"Einige der inzwischen nicht mehr erkennbaren Buchstaben oder Ligaturen waren bei der Auffindung noch lesbar. (B): ILS:Leseabweichungen.",NA,NA,NA,NA,NA,NA,"[---]ius Quir. Genialis","0","[---]ius","Genialis",NA,NA,NA,"M","34",NA,NA,NA,NA,NA
"83",316,"HD022746","Dal","ba",8,8,"Raetinium?","Bihać",NA,"Golubić, {Moschee}, bei",197466,"44.787084260,15.922794343",NA,NA,3200429,NA,NA,"Bihać, Gymnasium",NA,"titsac",22,22,"Altar",NA,"Gesteine",64,34,24,NA,NA,NA,NA,NA,"L",NA,NA,101,200,NA,NA,"a",NA,NA,NA,NA,NA,"Feraudi","2018-11-12",2,182038,5742,"I(ovi) O(ptimo) M(aximo) / Fl(avia) Pro/cula / s(olvit) v(otum) l(ibens)","I O M / FL PRO / CVLA / S V L","AE 1939, 0174. # ILJug 1666. # D. Sergejevski, Spomenik 88, 1938, 97, Nr. 1; Foto. - AE 1939. # E. Imamović, Antički kultni i votivni spomenici na području Bosne i Hercegovine (Sarajevo 1977) 350, Nr. 70; Foto. #",NA,NA,NA,NA,NA,NA,NA,NA,"Fl. Procula",NA,"Flavia*","Procula",NA,NA,NA,"W",NA,NA,NA,NA,NA,NA
"84",317,"HD022749","Dal","ba",8,8,"Raetinium?","Bihać","Unsko-sanski kanton","Golubić, {katholischer Friedhof}",197466,"44.786855822,15.920991897",NA,NA,3200429,NA,1935,"Visoko, Gymnasium",NA,"titsac",22,22,"Altar",NA,"Gesteine",65,36,30,NA,NA,NA,NA,NA,"L",NA,NA,101,200,NA,NA,"a",NA,NA,NA,NA,NA,"Feraudi","2018-11-12",2,182039,5558,"I(ovi) O(ptimo) M(aximo) / Metilia / Domitia / ex voto","I O M / METILIA / DOMITIA / EX VOTO","AE 1939, 0175. # ILJug 1667. # D. Sergejevski, Spomenik 88, 1938, 98, Nr. 2; Foto. - AE 1939. # E. Imamović, Antički kultni i votivni spomenici na području Bosne i Hercegovine (Sarajevo 1977) 350, Nr. 71; Foto. #",NA,NA,NA,NA,NA,NA,NA,NA,"Metilia Domitia",NA,"Metilia","Domitia",NA,NA,NA,"W",NA,NA,NA,NA,NA,NA
"85",318,"HD022752","Dal","ba",8,8,NA,"Bosansko Grahovo","Hercegbosanska županija","{Grkovci}, Dolac kod bunara, Gromile",NA,"44.091861699,16.564239300",NA,NA,3199553,NA,1936,NA,NA,"titsac",22,22,"Altar",NA,"Kalkstein",39,22,21,NA,NA,NA,NA,NA,"L",NA,NA,1,100,NA,NA,"a",NA,NA,NA,NA,NA,"Feraudi","2019-04-09",1,182040,5577,"S(ilvano) S(ilvestri) Primus / Vepi l(ibens) p(osuit)","S S PRIMVS / VEPI L P","AE 1939, 0176. # ILJug 1805. # D. Sergejevski, Spomenik 88, 1938, 122, Nr. 27; Zeichnung. - AE 1939. # E. Imamović, Antički kultni i votivni spomenici na području Bosne i Hercegovine (Sarajevo 1977) 314, Nr. 6; Zeichnung. #",NA,NA,NA,NA,NA,NA,NA,NA,"Primus Vepi|Vepi",NA,NA,"Primus|Vepus",NA,NA,NA,"M|M",NA,NA,NA,NA,NA,NA
"86",319,"HD022755","Dal","ba",8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1892,"Sarajevo, Zem. Muz.",NA,"titsac",22,22,"Altar",NA,NA,80,46,34,NA,NA,NA,NA,NA,"L",NA,NA,101,300,NA,NA,"a",NA,NA,"J",NA,NA,"Feraudi","2011-11-14",2,182041,NA,"I(ovi) O(ptimo) M(aximo) / Aur(e)l(ius) Rufus / et Victo/rina / v(otum) l(ibentes) s(olverunt)","I O M / AVRL RVFVS / ET VICTO / RINA / V L S","AE 1939, 0177. # ILJug 2958. # D. Sergejevski, Spomenik 88, 1938, 126-127, Nr. 33; Foto. - AE 1939. # E. Imamović, Antički kultni i votivni spomenici na području Bosne i Hercegovine (Sarajevo 1977) 378, Nr. 121; Foto. # A. Škegro, OpuscArchZagreb 21, 1997, 99, Nr. 98. #",NA,"Imamović: Maßangaben 69 x 34 x 9,5. Genaue Herkunft unbekannt; ILJug: alicunde ex regione Bosnia. Hedera in Z. 2.",NA,"a",NA,NA,NA,NA,"Aurl. Rufus|Victorina",NA,"Aurelius*","Rufus|Victorina",NA,NA,NA,"M|W",NA,NA,NA,NA,NA,NA
"87",322,"HD022850","Dal","ba",8,8,"Baloie","Šipovo","Republika Srpska","{Gromile}",197158,"44.285007780,17.100906372",NA,NA,3190837,NA,1910,"Sarajevo, Zem. Muz.",NA,"titsac",22,22,"Altar",NA,"Kalkstein",-47,NA,NA,NA,NA,"3.5-2.5",NA,NA,"L",NA,NA,101,300,NA,NA,"a",NA,NA,NA,NA,NA,"Feraudi","2018-09-17",32,182044,5581,"[Mi]nerva[e] / sacr(um) ex vo(to) / L(ucius) Publicius / Telespho[r]u[s] / v(otum) s(olvit) l(ibens) m(erito)","[ ]NERVA[ ] / SACR EX VO / L PVBLICIVS / TELESPHO[ ]V[ ] / V S L M","ILJug 1624. # E. Imamović, Antički kultni i votivni spomenici na području Bosne i Hercegovine (Sarajevo 1977) 384, Nr. 132; Foto. # D. Sergejevski, GlasSarajevo 38, 1926, 157-158; sl. 2. #",NA,NA,NA,NA,NA,NA,NA,NA,"L. Publicius Telespho[r]u[s]","L.","Publicius","Telesphorus+",NA,NA,NA,"M",NA,NA,NA,NA,NA,NA
"88",323,"HD023070","Dal","ba",8,8,NA,"Foča-Ustikolina","Bosansko-podrinjski kanton","Ustikolina, Čelija, {S. Trojica, Kirche}, bei",NA,"43.581142149,18.790590763",NA,NA,3188458,NA,1936,NA,NA,"titsac",22,22,"Altar",NA,"Kalkstein",76,56,29,NA,NA,"4.5",NA,NA,"L",NA,NA,1,300,NA,NA,"a",NA,NA,NA,NA,NA,"Feraudi","2011-10-04",2,182045,5831,"Term(ino) // Lib(ero) P(atri) // I(ovi) O(ptimo) M(aximo)","TERM / / LIB P / / I O M","AE 1939, 0301. # ILJug 1572. # E. Imamović, Antički kultni i votivni spomenici na području Bosne i Hercegovine (Sarajevo 1977) 416, Nr. 184; Foto. # D. Sergejevski, GlasSarajevo 48, 1, 1936, 5, Nr. 1; sl. 1. #",NA,"Inschriftträger in drei altarförmige Inschriftfelder eingeteilt.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",324,"HD023073","Dal","ba",8,8,NA,"Foča-Ustikolina","Bosansko-podrinjski kanton","Ustikolina, Čelija, {S. Trojica, Kirche}, bei",NA,"43.581142149,18.790590763",NA,NA,3188458,NA,1936,NA,NA,"titsac",22,22,"Altar",NA,NA,-15,-26.5,-17,NA,NA,"5",NA,NA,"L",NA,NA,1,300,NA,NA,"a",NA,NA,NA,NA,NA,"Feraudi","2011-10-04",2,182046,5831,"Term(ino) [&","TERM [","AE 1939, 0302. # ILJug 1573. # E. Imamović, Antički kultni i votivni spomenici na području Bosne i Hercegovine (Sarajevo 1977) 414, Nr. 182; Foto. # D. Sergejevski, GlasSarajevo 48, 1, 1936, 5, Nr. 2; sl. 2. #",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",325,"HD023076","Dal","ba",8,8,"Ris---","Rogatica","Republika Srpska",NA,197475,"43.79894,19.00363",NA,NA,3191576,NA,NA,NA,NA,"titsac",22,22,"Altar",NA,"Kalkstein",101,-72,-35,NA,NA,NA,NA,NA,"L",NA,NA,131,171,NA,NA,"a",NA,NA,NA,NA,NA,"Feraudi","2014-04-25",2,182047,5451,"L(ibero) B(accho) / P(ublius) Ael(ius) Cleme(ns) / [---] veter(anus) / [---]E AE/[---]T[--]SOS[---]/[---]E/[---] b(ene?) v(otum) s(olvit) // I(ovi) O(ptimo) M(aximo) / P(ublius) Ael(ius) Clemen[s] / l(ibens?) [---] pos(uit?) / [--]V[---] / s(ua?) p(ecunia?) TAE LV E / v(otum) s(olvit) l(ibens) m(erito)","L B / P AEL CLEME / [ ] VETER / [ ]E AE / [ ]T[ ]SOS[ ] / [ ]E / [ ] B V S / / I O M / P AEL CLEMEN[ ] / L [ ] POS / [ ]V[ ] / S P TAE LV E / V S L M","AE 1939, 0303. # CIL 03, 08367. # ILJug 1567. # E. Imamović, Antički kultni i votivni spomenici na području Bosne i Hercegovine (Sarajevo 1977) 376. 398, Nr. 118. 155; Fotos. # D. Sergejevski, GlasSarajevo 48, 1, 1936, 12-13, Nr. 13; tab. 3, 16. - AE 1939. # K. Patsch, AEM 16, 1893, 89, Nr. 2. # S. Mesihović, GodAkSarajevo 38, 2009, 60-61, Nr. 6; tab. 2, 1. - AE 2009. # AE 2009, 1028. #",NA,"Inschriftfeld längs in zwei Hälften geteilt; jeweils mit einer Weihinschrift versehen.",NA,NA,NA,NA,NA,NA,"P. Ael. Cleme.|P. Ael. Clemen[s]","P.|P.","Aelius*|Aelius*","Clemens*|Clemens+",NA,NA,NA,"M|M","9",NA,NA,NA,NA,NA
"91",329,"HD023324","Dal","ba",8,8,"Salviae","Glamoč","Hercegbosanska županija","{Halapić}, bei, ""Gradac""",197490,"44.0726166,16.789406800",NA,NA,3199427,NA,1926,"Sarajevo, Zem. Muz.",NA,"titsac",22,22,"Altar",NA,"Gesteine",-36,-35,-24,NA,NA,NA,NA,NA,"L",NA,NA,1,300,NA,NA,"a",NA,NA,NA,NA,"J","Feraudi","2018-04-18",32,182051,5588,"[--- et Genio] / loci T(itus) Coni/nius Ursus / |(centurio) coh(ortis) VIII vol(untariorum) / gratias agens / [c]um suis v(otum) l(ibens) s(olvit)","[ ] / LOCI T CONI / NIVS VRSVS / | COH VIII VOL / GRATIAS AGENS / [ ]VM SVIS V L S","ILJug 1645. # E. Imamović, Antički kultni i votivni spomenici na području Bosne i Hercegovine (Sarajevo 1977) 382. 406, Nr. 128. 167; Fotos. # D. Sergejevski, GlasSarajevo 40, 1928, 82-83. 95, Nr. 3; sl. 3. (B) #",NA,"(B): Sergejevski: abweichende Textwiedergabe / Auflösungen / Ergänzungen.",NA,NA,NA,NA,NA,NA,"T. Coninius Ursus","T.","Coninius","Ursus",NA,NA,NA,"M","9",NA,NA,NA,NA,NA
"92",330,"HD023356","Dal","hr",25,10,"Flanona, bei","Kršan","Istarska županija","{Plomin}, bei, Gomila",197272,"45.138195411,14.179956231",NA,NA,3193137,NA,1930,"Pula, Arheološki muzej Istre",NA,"titsac",22,22,"Altar",NA,"Kalkstein",61,36,30,NA,NA,NA,NA,NA,"L",NA,NA,51,150,NA,NA,"a",NA,NA,NA,NA,NA,"Gräf","2011-02-03",2,182052,6585,"Vestae / Sex(tus) Aquilius / Lucifer / v(otum) s(olvit) l(ibens) m(erito)","VESTAE / SEX AQVILIVS / LVCIFER / V S L M","AE 1935, 0125. # ILJug 2903. # A. Degrassi, NSA 1934, 5-6; fig. 1. - AE 1935. #",NA,NA,NA,NA,NA,NA,NA,NA,"Sex. Aquilius Lucifer","Sex.","Aquilius","Lucifer",NA,NA,NA,"M",NA,NA,NA,NA,NA,NA
"93",332,"HD023823","Dal","hr",25,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Split, Arh. Muz.",NA,"titsac",22,22,"Relief",NA,NA,41,64.5,16.5,NA,NA,"2.2-1.1",NA,NA,"L",NA,NA,151,300,NA,NA,"a",NA,NA,"J",NA,NA,"Gräf","2009-08-10",2,182054,NA,"[D(ianae)] et S(ilvano) [et] M(ercurio) / Aug[ust]/is s(acrum) / Ian/[uar?]ius C(ai) Hono/rati / ser(vus) / p(osuit) l(ibens) m(erito)","[ ] ET S [ ] M / AVG[ ] / IS S / IAN / [ ]IVS C HONO / RATI / SER / P L M","AE 1933, 0073. # ILJug 0261. # M. Abramić, BAHD 50, 1928/29, 50. 55; tab. 4, 1. - AE 1933. #",NA,"Darstellung von Diana, Silvanus und Merkur; die Inschrift verteilt sich auf den Raum zwischen den Figuren (Z. 1-3) und links der Diana (Z. 4-9).",NA,NA,NA,NA,"F033794|https://heidicon.ub.uni-heidelberg.de/api/v1/objects/uuid/a847a22c-c70e-4e77-9af6-3d8bdfa44f76/file/id/794602/file_version/name/small","http://www.lupa.at/24914","Ian[uar?]ius C. Honorati|C. Honorati",NA,"C(---)","Ianuarius+?|Honoratus",NA,NA,NA,"M|M","7",NA,NA,NA,NA,NA
"94",336,"HD023832","Dal","me",35,37,"Doclea","Podgorica",NA,"Duklja, {frühchristliche Basilika}, bei",481808,"42.468722962,19.268985986",NA,NA,3193044,NA,1930,"Podgorica",NA,"titsac",22,22,"Altar",NA,"Kalkstein",-55,-36,-16,NA,NA,NA,NA,NA,"L",NA,NA,187,NA,NA,NA,"a",NA,NA,NA,NA,"J","Feraudi","2011-10-10",2,182058,7102,"I(ovi) O(ptimo) M(aximo) / Eponae Re[g(inae)] / Genio loci / C(aius) Ocratius / Lacon b(ene)f(iciarius) co(n)s(ularis) / leg(ionis) I adiutr(icis) / v(otum) s(olvit) l(ibens) m(erito) / Crispino et Aeliano / co(n)s(ulibus)","I O M / EPONAE RE[ ] / GENIO LOCI / C OCRATIVS / LACON BF COS / LEG I ADIVTR / V S L M / CRISPINO ET AELIANO / COS","AE 1933, 0076. # ILJug 1825. # A. Mayer, BAHD 50, 1928/29, 67-68, Nr. 5; Foto. # N. Vulić, Spomenik 71, 1931, 124, Nr. 302. # E. Schallmayer - K. Eibl - J. Ott - G. Preuß - E. Wittkopf, Der römische Weihebezirk von Osterburken 1 (Stuttgart 1990) 365-366, Nr. 461; Foto. # PIR (2. Aufl.) B 169. # PIR (2. Aufl.) R 91. #",NA,NA,NA,NA,"http://data.snapdrgn.net/person/7228 http://data.snapdrgn.net/person/4297","https://godot.date/id/Eo48tRRmj3FKcy8tEiXcfP",NA,NA,"C. Ocratius Lacon|Crispino|Aeliano","C.","Ocratius","Lacon|Crispinus|Aelianus",NA,NA,NA,"M|M|W","9|1|1",NA,NA,NA,NA,NA
"95",340,"HD024375","Dal","hr",25,10,"Albona, bei","Labin, bei","Istarska županija",NA,197102,"45.098633,14.115745",NA,NA,3196834,NA,NA,"Labin, Lapidarium",NA,"titsac",22,22,"Altar",NA,NA,35,21.5,16,NA,NA,NA,NA,NA,"L",NA,NA,1,300,NA,NA,"a",NA,NA,NA,NA,NA,"Gräf","2018-11-16",2,182062,5894,"Sentonae / sacrum / Tullia Fusca / v(otum) s(olvit)","SENTONAE / SACRVM / TVLLIA FVSCA / V S","AE 1936, 0093. # ILJug 2910. # A. Degrassi, NSA 12, 1934, 113; fig. 1. - AE 1936. #",NA,NA,NA,NA,NA,NA,NA,NA,"Tullia Fusca",NA,"Tullia","Fusca",NA,NA,NA,"W",NA,NA,NA,NA,NA,NA
"96",342,"HD024771","Dal","ba",8,8,"Delminium, bei","Tomislavgrad","Hercegbosanska županija","{Letka}, Gradina, sekundär verwendet",197244,"43.736016256,17.268161770",NA,NA,3196627,NA,1970,"Tomislavgrad, Franziskanerkloster",NA,"titsac",22,22,"Altar",NA,NA,-57,36,NA,NA,NA,"3",NA,NA,"L",NA,NA,201,300,NA,NA,"a",NA,NA,NA,NA,"J","Gräf","2019-05-24",12,182064,5656,"Marti / [-] Tos(sius)(?) Sur[a](?) / mil(es) leg(ionis) VIII A[ug(ustae)] / v(otum) l(ibens) p(osuit)","MARTI / [ ] TOS SVR[ ] / MIL LEG VIII A[ ] / V L P","AE 1990, 0788. (B) # AE 1991, 1287. # ILJug 0785. # G. Alföldy, BAHD 82, 1989, 204-207. - AE 1990. # I. Bojanovski, AArchSlov 41, 1990, 700, Nr. 4. (B) - AE 1991. # A. Škegro, OpuscArchZagreb 21, 1997, 93, Nr. 47. # E. Imamović, Antički kultni i votivni spomenici na području Bosne i Hercegovine (Sarajevo 1977) 386, Nr. 135; Foto. # R. Cubaynes, Les hommes de la VIIIe légion Auguste (Autun 2018) 257-258, Nr. 41; Foto. (B) #",NA,"Mehrere aneinanderpassende Fragmente erhalten. Lesungs- und Ergänzungsvorschlag nach Alföldy. Z. 2 (Anfang): statt T auch E oder F möglich. Z. 2: ILJug: [d]eo s(acrum) SVR[-](?); Imamović: [d]eo s(acrum) Sur(ius); Bojanovski: [d]eo s(acrum) Sur[us?]; Škegro: [d]eo s(acrum) Sur[---]; (B): AE 1990: Z. 3: m(iles); Bojanovski: Z. 3: miles; Cubaynes: Z. 2: [-]OS SVR[---].",NA,NA,NA,NA,NA,NA,"[-](?) Tos.(?) Sur[a](?)","0","Tossius*?","Sura+?",NA,NA,NA,"M","9",NA,NA,NA,NA,NA
"97",348,"HD025102","Dal","hr",25,10,"Salonae","Solin","Splitsko-dalmatinska županija","{Pet mostova}, östlicher Bogen, bei",197488,"43.538302146,16.483660340",NA,NA,3190359,NA,1914,"Split, Arh. Muz.",NA,"titsac",22,22,"Mensa",NA,NA,15,210,86,NA,NA,NA,NA,NA,"L",NA,NA,1,300,NA,"J",NA,NA,NA,NA,NA,NA,"Feraudi","2011-10-28",1,182070,6638,"[- Vi]bius Firmus mag(ister) et q(uin)q(uennalis) me(n)sam d(ono) d(edit)","[ ]BIVS FIRMVS MAG ET QQ MESAM D D","AE 1922, 0037. # ILJug 2083. # AE 1986, 0546. # F. Bulić, BAHD 37, 1914, 74, Nr. 4473 A; Zeichnung. - AE 1922. 1986. # N. Duval, BAHD 77, 1984, 204-205, Nr. 1; fig. 13 (Zeichnung). - AE 1986. # AE 1994, 1346. # M. Šašel Kos, BAHD 86, 1993, 209-210, Nr. 14. - AE 1994. #",NA,NA,NA,NA,NA,NA,NA,NA,"[- Vi]bius Firmus","0","Vibius+","Firmus",NA,NA,NA,"M",NA,NA,NA,NA,NA,NA
